epoch,loss,accuracy,val_loss,val_accuracy
1,0.5858454704284668,0.7204576730728149,0.5711159110069275,0.7054303288459778
2,0.5693022608757019,0.714093804359436,0.5622201561927795,0.7092554569244385
3,0.5661997199058533,0.7209016680717468,0.5619940161705017,0.7761270403862
4,0.5631717443466187,0.7245446443557739,0.5589659214019775,0.7163934707641602
5,0.5587978959083557,0.7283470034599304,0.5508711934089661,0.7492827773094177
6,0.5551869869232178,0.7355304956436157,0.5571996569633484,0.7220969796180725
7,0.5509032011032104,0.7441256642341614,0.5442189574241638,0.7749658226966858
8,0.545020341873169,0.7580487132072449,0.5446179509162903,0.8472335934638977
9,0.5425131916999817,0.7760018110275269,0.5342431664466858,0.7913934588432312
10,0.53787761926651,0.7818419933319092,0.5299658179283142,0.7664958834648132
11,0.5350145697593689,0.7768556475639343,0.531903862953186,0.8428278565406799
12,0.5297795534133911,0.783629298210144,0.5209468603134155,0.8495218753814697
13,0.5230585336685181,0.7859175801277161,0.5134605765342712,0.8295081853866577
14,0.518278181552887,0.7882058024406433,0.5060119032859802,0.8349043726921082
15,0.5128427743911743,0.790801465511322,0.5074628591537476,0.831250011920929
16,0.5055119395256042,0.7956284284591675,0.4867080748081207,0.8496584892272949
17,0.4971673786640167,0.7986224889755249,0.4825027585029602,0.8426912426948547
18,0.49147334694862366,0.7967441082000732,0.47613489627838135,0.8683401346206665
19,0.48177042603492737,0.7999544739723206,0.4619162976741791,0.868510901927948
20,0.4749312102794647,0.8030054569244385,0.47300195693969727,0.8384221196174622
21,0.46760788559913635,0.8045992851257324,0.44841012358665466,0.8280396461486816
22,0.4588053822517395,0.8056352734565735,0.44757354259490967,0.8366461992263794
23,0.4518485367298126,0.8018328547477722,0.4329555928707123,0.8437841534614563
24,0.4437861144542694,0.8041780591011047,0.4225294291973114,0.8376707434654236
25,0.4337928295135498,0.80829918384552,0.4120774269104004,0.8424521684646606
26,0.4263624846935272,0.805578351020813,0.40522831678390503,0.8548497557640076
27,0.41814252734184265,0.8070013523101807,0.3962646722793579,0.8325478434562683
